，	74143
的	54650
。	35604
、	22979
国	17688
一	17454
在	13582
中	12846
人	12513
了	12320
１	12257
和	11848
是	11506
有	11075
年	10952
大	10832
不	9174
０	8944
为	8806
会	8467
“	7905
”	7878
业	7596
上	7376
地	7332
发	7325
出	6828
作	6808
９	6772
要	6654
工	6566
民	6535
行	6509
这	6448
经	6302
家	6291
新	6276
个	6180
部	5989
日	5974
以	5910
来	5778
到	5756
２	5694
市	5533
生	5508
成	5490
对	5449
进	5368
全	5249
我	5197
们	5125
政	4979
多	4963
主	4919
时	4835
他	4652
产	4603
本	4590
展	4559
长	4551
实	4528
学	4386
者	4357
方	4342
建	4325
）	4325
（	4325
开	4299
理	4251
同	4234
动	4163
月	4073
高	4056
关	3969
重	3968
电	3939
力	3937
现	3910
于	3877
公	3875
５	3818
社	3782
区	3746
下	3746
报	3734
３	3728
加	3702
分	3633
济	3617
自	3556
制	3529
化	3492
文	3455
定	3424
过	3394
合	3389
前	3377
体	3371
等	3361
就	3330
场	3308
与	3299
天	3297
说	3238
面	3230
后	3225
：	3197
机	3185
记	3184
事	3181
法	3181
员	3156
用	3146
４	3109
能	3067
得	3058
７	3039
美	3032
８	3007
资	3006
华	3004
十	2920
也	2908
务	2899
总	2893
设	2890
之	2890
外	2886
而	2884
好	2871
北	2871
平	2867
６	2848
利	2843
农	2808
各	2805
子	2804
金	2802
小	2760
从	2746
将	2739
元	2717
明	2710
企	2701
万	2698
问	2685
心	2634
提	2629
两	2625
当	2622
表	2616
；	2614
其	2608
种	2605
委	2587
党	2576
品	2535
可	2522
里	2515
度	2487
强	2482
军	2438
改	2434
代	2434
着	2431
起	2422
内	2414
京	2389
科	2389
目	2373
通	2367
三	2350
系	2346
水	2343
活	2336
入	2329
都	2322
位	2316
第	2313
导	2311
次	2272
题	2267
特	2263
道	2245
所	2234
世	2212
向	2204
领	2197
省	2194
去	2188
已	2157
增	2151
还	2147
基	2142
—	2140
海	2139
名	2118
术	2116
最	2116
使	2110
管	2107
统	2104
今	2098
立	2098
南	2094
结	2083
技	2080
并	2079
些	2063
正	2058
应	2057
交	2030
持	2027
安	2025
点	1972
任	1958
性	1955
共	1952
东	1948
西	1946
解	1945
由	1943
联	1938
教	1927
》	1923
界	1923
《	1923
治	1922
保	1917
组	1915
司	1895
院	1893
程	1884
意	1881
决	1877
